Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm
Abu,January,1901-2000,100,19.3,8,5.3
Abu,February,1901-2000,100,21,10,4.4
Abu,March,1901-2000,100,25.3,14.5,6.5
Abu,April,1901-2000,100,29.4,18.7,2.6
Abu,May,1901-2000,100,31.5,21,16.4
Abu,June,1901-2000,100,29.1,19.8,101.6
Abu,July,1901-2000,100,24.5,18.7,573.2
Abu,August,1901-2000,100,22.7,17.8,600.3
Abu,September,1901-2000,100,24.5,17.6,214.2
Abu,October,1901-2000,100,26.7,16.2,19.4
Abu,November,1901-2000,100,23.8,12.1,7.9
Abu,December,1901-2000,100,20.9,9,2.4
Agartala (A),January,1953-2000,43,25.6,10,27.5
Agartala (A),February,1953-2000,43,28.3,13.2,21.5
Agartala (A),March,1953-2000,43,32.5,18.7,60.7
Agartala (A),April,1953-2000,43,33.7,22.2,199.7
Agartala (A),May,1953-2000,43,32.8,23.5,329.9
Agartala (A),June,1953-2000,43,31.8,24.6,393.4
Agartala (A),July,1953-2000,43,31.4,24.8,363.1
Agartala (A),August,1953-2000,43,31.7,24.7,298.7
Agartala (A),September,1953-2000,43,31.7,24.3,232.4
Agartala (A),October,1953-2000,43,31.1,22,162.5
Agartala (A),November,1953-2000,43,29.2,16.6,46
Agartala (A),December,1953-2000,43,26.4,11.3,10.6
Agra,January,1901-2000,100,22.3,7.7,13.2
Agra,February,1901-2000,100,25.5,10.3,17.6
Agra,March,1901-2000,100,31.9,15.5,9.3
Agra,April,1901-2000,100,37.9,21.5,6.3
Agra,May,1901-2000,100,41.7,26.5,11.3
Agra,June,1901-2000,100,40.7,28.9,55.7
Agra,July,1901-2000,100,35.3,26.8,203.3
Agra,August,1901-2000,100,33.2,25.7,243.2
Agra,September,1901-2000,100,34,24.3,129.7
Agra,October,1901-2000,100,34,19.1,24.8
Agra,November,1901-2000,100,29.2,12.5,4.3
Agra,December,1901-2000,100,23.9,8.2,6.1
Ahmedabad,January,1901-2000,100,28.7,13.1,2.1
Ahmedabad,February,1901-2000,100,31,14.8,1.2
Ahmedabad,March,1901-2000,100,35.9,19.4,1.1
Ahmedabad,April,1901-2000,100,39.5,23.5,1.9
Ahmedabad,May,1901-2000,100,41.4,26.3,9.1
Ahmedabad,June,1901-2000,100,38.5,27.2,97.4
Ahmedabad,July,1901-2000,100,33.5,25.7,309.8
Ahmedabad,August,1901-2000,100,32,24.9,213.8
Ahmedabad,September,1901-2000,100,33.5,24.4,126.6
Ahmedabad,October,1901-2000,100,35.8,21.9,13.5
Ahmedabad,November,1901-2000,100,33.2,17.5,6.1
Ahmedabad,December,1901-2000,100,29.9,14.1,1.7
Aijal/Aizwal,January,1937-1992,34,20.4,11.4,13.4
Aijal/Aizwal,February,1937-1992,34,21.7,12.8,23.4
Aijal/Aizwal,March,1937-1992,34,25.2,15.6,73.4
Aijal/Aizwal,April,1937-1992,34,26.8,17.5,167.7
Aijal/Aizwal,May,1937-1992,34,26.3,18.1,289
Aijal/Aizwal,June,1937-1992,34,25.5,18.9,406.1
Aijal/Aizwal,July,1937-1992,34,25.3,19.1,320.4
Aijal/Aizwal,August,1937-1992,34,25.5,19.1,320.6
Aijal/Aizwal,September,1937-1992,34,25.7,19.2,305.2
Aijal/Aizwal,October,1937-1992,34,24.7,18,183.7
Aijal/Aizwal,November,1937-1992,34,23,15.1,43.2
Aijal/Aizwal,December,1937-1992,34,21,12.2,15.3
Ajmer,January,1901-2000,100,22.9,7.6,7.3
Ajmer,February,1901-2000,100,25.7,10.3,6
Ajmer,March,1901-2000,100,31.3,16,5
Ajmer,April,1901-2000,100,36.5,22.2,4
Ajmer,May,1901-2000,100,39.7,26.8,15.7
Ajmer,June,1901-2000,100,38.4,27.5,58.1
Ajmer,July,1901-2000,100,33.6,25.6,181.5
Ajmer,August,1901-2000,100,31.3,24.4,157.5
Ajmer,September,1901-2000,100,32.6,23.7,73
Ajmer,October,1901-2000,100,33.5,18.8,13.1
Ajmer,November,1901-2000,100,29.2,12.3,4
Ajmer,December,1901-2000,100,24.7,8.4,3.8
Akola (A),January,1961-2000,40,29.9,13.1,10.4
Akola (A),February,1961-2000,40,32.8,15.4,8.1
Akola (A),March,1961-2000,40,37.3,19.7,10
Akola (A),April,1961-2000,40,40.9,24.2,4.1
Akola (A),May,1961-2000,40,42.5,27.3,9.8
Akola (A),June,1961-2000,40,37.6,25.5,144.9
Akola (A),July,1961-2000,40,32.4,23.5,217.2
Akola (A),August,1961-2000,40,30.6,23,196.6
Akola (A),September,1961-2000,40,32.5,22.5,122.7
Akola (A),October,1961-2000,40,34.1,19.7,47.7
Akola (A),November,1961-2000,40,31.7,15.6,18.7
Akola (A),December,1961-2000,40,29.5,12.4,12.1
Allahabad,January,1901-2000,100,23.5,8.9,17.9
Allahabad,February,1901-2000,100,26.7,11.4,17.3
Allahabad,March,1901-2000,100,33.4,16.6,9.6
Allahabad,April,1901-2000,100,39.1,22.3,5.5
Allahabad,May,1901-2000,100,41.8,26.7,8.8
Allahabad,June,1901-2000,100,39.8,28.5,88.8
Allahabad,July,1901-2000,100,34,26.6,280.9
Allahabad,August,1901-2000,100,32.5,25.9,296.1
Allahabad,September,1901-2000,100,33,25,185
Allahabad,October,1901-2000,100,33,20.2,36.6
Allahabad,November,1901-2000,100,29.2,13.5,9.3
Allahabad,December,1901-2000,100,24.6,9.4,7
Ambikapur,January,1951-2000,49,23.5,8.7,22.6
Ambikapur,February,1951-2000,49,26.8,11.3,22.5
Ambikapur,March,1951-2000,49,32,15.6,18.4
Ambikapur,April,1951-2000,49,36.8,20.8,13
Ambikapur,May,1951-2000,49,39.4,24.7,19.4
Ambikapur,June,1951-2000,49,35.5,24.8,211.2
Ambikapur,July,1951-2000,49,29.7,23.2,428.3
Ambikapur,August,1951-2000,49,29.3,22.9,389.8
Ambikapur,September,1951-2000,49,29.8,22.1,227.2
Ambikapur,October,1951-2000,49,29.5,18.1,56.8
Ambikapur,November,1951-2000,49,26.5,12.2,9.7
Ambikapur,December,1951-2000,49,23.8,8.5,6.5
Amini Divi,January,1901-2000,97,31.2,23.6,15.9
Amini Divi,February,1901-2000,97,31.7,24.5,2.9
Amini Divi,March,1901-2000,97,32.5,25.3,3.8
Amini Divi,April,1901-2000,97,33.3,26.7,22.6
Amini Divi,May,1901-2000,97,33,27.1,131.1
Amini Divi,June,1901-2000,97,30.4,25.7,371.1
Amini Divi,July,1901-2000,97,29.6,25.3,314.5
Amini Divi,August,1901-2000,97,29.6,25.3,214
Amini Divi,September,1901-2000,97,30,25.3,149.9
Amini Divi,October,1901-2000,97,30.5,25.1,139.2
Amini Divi,November,1901-2000,97,31,24.5,88.6
Amini Divi,December,1901-2000,97,31.1,23.7,38.5
Amritsar (Rajasansi),January,1948-2000,53,19.2,3.9,28.3
Amritsar (Rajasansi),February,1948-2000,53,21.9,6.3,29.2
Amritsar (Rajasansi),March,1948-2000,53,26.9,11,34.8
Amritsar (Rajasansi),April,1948-2000,53,33.9,16.2,19.3
Amritsar (Rajasansi),May,1948-2000,53,38.8,21.2,19.6
Amritsar (Rajasansi),June,1948-2000,53,39.8,24.9,51.7
Amritsar (Rajasansi),July,1948-2000,53,35.3,25.6,224.7
Amritsar (Rajasansi),August,1948-2000,53,34.3,25.2,174.5
Amritsar (Rajasansi),September,1948-2000,53,34.4,22.7,94.6
Amritsar (Rajasansi),October,1948-2000,53,32.3,15.7,21.3
Amritsar (Rajasansi),November,1948-2000,53,27,8.6,5.7
Amritsar (Rajasansi),December,1948-2000,53,21.3,4.3,14.6
Anantpur,January,1946-2000,55,30.4,17.4,0.9
Anantpur,February,1946-2000,55,33.7,19.3,1.3
Anantpur,March,1946-2000,55,37.1,22.4,4.7
Anantpur,April,1946-2000,55,38.9,25.8,16.9
Anantpur,May,1946-2000,55,38.8,26.2,55
Anantpur,June,1946-2000,55,35.4,25,55.8
Anantpur,July,1946-2000,55,33.3,24.2,62.7
Anantpur,August,1946-2000,55,32.8,23.8,75.3
Anantpur,September,1946-2000,55,32.8,23.4,133.2
Anantpur,October,1946-2000,55,31.8,22.5,104.7
Anantpur,November,1946-2000,55,30.1,20.1,37.8
Anantpur,December,1946-2000,55,29.1,17.7,11.2
Androth,January,1965-1979,11,30.3,24.4,10.5
Androth,February,1965-1979,11,30.9,24.8,2.4
Androth,March,1965-1979,11,32.2,25.5,6
Androth,April,1965-1979,11,33.1,26.3,25.9
Androth,May,1965-1979,11,32.8,26.4,130.4
Androth,June,1965-1979,11,30.5,24.9,401.7
Androth,July,1965-1979,11,29.9,24.3,486.1
Androth,August,1965-1979,11,30.1,24.9,238.6
Androth,September,1965-1979,11,30,24.7,182.2
Androth,October,1965-1979,11,30.5,24.7,166.5
Androth,November,1965-1979,11,30.4,24.1,129.8
Androth,December,1965-1979,11,30.7,24,90.2
Aurangabad,January,1952-2000,49,29,11,11.3
Aurangabad,February,1952-2000,49,31.7,13,2.7
Aurangabad,March,1952-2000,49,35.6,17.6,5.6
Aurangabad,April,1952-2000,49,38.5,21.9,3.9
Aurangabad,May,1952-2000,49,39.5,23.9,26.2
Aurangabad,June,1952-2000,49,34.7,22.9,132.2
Aurangabad,July,1952-2000,49,30.3,21.7,157.9
Aurangabad,August,1952-2000,49,29.2,21.1,152.7
Aurangabad,September,1952-2000,49,30.3,20.6,146
Aurangabad,October,1952-2000,49,31.8,18,62.1
Aurangabad,November,1952-2000,49,30,13.7,26.8
Aurangabad,December,1952-2000,49,28.4,10.7,12
Balasore,January,1901-2000,97,27,13.9,17
Balasore,February,1901-2000,97,29.5,16.7,36.3
Balasore,March,1901-2000,97,33.7,21,39.4
Balasore,April,1901-2000,97,36,24.4,54.8
Balasore,May,1901-2000,97,36.1,26,108.6
Balasore,June,1901-2000,97,34.2,26.2,233.4
Balasore,July,1901-2000,97,31.8,25.8,297.9
Balasore,August,1901-2000,97,31.4,25.8,318.3
Balasore,September,1901-2000,97,31.7,25.5,275.8
Balasore,October,1901-2000,97,31.3,23,184
Balasore,November,1901-2000,97,29.2,17.8,41.6
Balasore,December,1901-2000,97,26.9,13.7,6.5
Bangalore,January,1901-2000,100,27.4,15,4.9
Bangalore,February,1901-2000,100,30.1,16.6,7.9
Bangalore,March,1901-2000,100,32.8,19,10
Bangalore,April,1901-2000,100,33.9,21.3,43.9
Bangalore,May,1901-2000,100,33.1,21.1,111.9
Bangalore,June,1901-2000,100,29.4,19.8,79.7
Bangalore,July,1901-2000,100,27.7,19.3,109.7
Bangalore,August,1901-2000,100,27.6,19.2,138.8
Bangalore,September,1901-2000,100,28.1,19.1,185.9
Bangalore,October,1901-2000,100,27.9,18.9,161.7
Bangalore,November,1901-2000,100,26.8,17.2,59.2
Bangalore,December,1901-2000,100,26.2,15.4,17.4
Bareilly,January,1901-2000,97,21.6,8.3,22.9
Bareilly,February,1901-2000,97,24,10.4,25.3
Bareilly,March,1901-2000,97,30.6,15.2,14.5
Bareilly,April,1901-2000,97,36.8,20.9,8.9
Bareilly,May,1901-2000,97,39.9,25.1,19.3
Bareilly,June,1901-2000,97,38.6,27,106.4
Bareilly,July,1901-2000,97,33.9,26.1,307
Bareilly,August,1901-2000,97,32.6,25.8,290.9
Bareilly,September,1901-2000,97,33,24.4,186.1
Bareilly,October,1901-2000,97,32.3,19.3,44.9
Bareilly,November,1901-2000,97,28,12.7,3.9
Bareilly,December,1901-2000,97,23.2,8.8,9.7
Baroda (A),January,1952-2000,48,29.5,12.5,2.2
Baroda (A),February,1952-2000,48,31.9,14.2,0.7
Baroda (A),March,1952-2000,48,36.2,18.4,0.7
Baroda (A),April,1952-2000,48,39.2,23,1.4
Baroda (A),May,1952-2000,48,40.1,26.6,6.1
Baroda (A),June,1952-2000,48,36.8,27,118.9
Baroda (A),July,1952-2000,48,32.5,25.8,274.6
Baroda (A),August,1952-2000,48,31.4,25,242.4
Baroda (A),September,1952-2000,48,33,24.5,124.2
Baroda (A),October,1952-2000,48,35.5,21.4,26.4
Baroda (A),November,1952-2000,48,33.4,16.9,13.3
Baroda (A),December,1952-2000,48,30.7,13.7,3.7
Belgaum Samra,January,1952-2000,49,29.2,14.6,1.1
Belgaum Samra,February,1952-2000,49,31.7,15.7,2.1
Belgaum Samra,March,1952-2000,49,34.6,18.5,10.6
Belgaum Samra,April,1952-2000,49,35.8,20.4,45.1
Belgaum Samra,May,1952-2000,49,34.3,21,89.8
Belgaum Samra,June,1952-2000,49,28.7,20.9,166.1
Belgaum Samra,July,1952-2000,49,25.8,20.4,268.9
Belgaum Samra,August,1952-2000,49,25.7,20.1,157.4
Belgaum Samra,September,1952-2000,49,27.6,19.5,109.3
Belgaum Samra,October,1952-2000,49,29.2,19.1,124.9
Belgaum Samra,November,1952-2000,49,28.6,16.9,34.2
Belgaum Samra,December,1952-2000,49,28.2,15.2,5.6
Bhagalpur,January,1901-1999,56,24.2,11.6,18.2
Bhagalpur,February,1901-1999,56,27.2,13.9,11.4
Bhagalpur,March,1901-1999,56,33.1,18.9,10.3
Bhagalpur,April,1901-1999,56,37.5,23.3,21.5
Bhagalpur,May,1901-1999,56,37.6,25,63
Bhagalpur,June,1901-1999,56,35.5,26.3,187.4
Bhagalpur,July,1901-1999,56,33,26.3,264.5
Bhagalpur,August,1901-1999,56,32.6,26.3,240.7
Bhagalpur,September,1901-1999,56,32.8,25.8,211.6
Bhagalpur,October,1901-1999,56,32.2,23,83.2
Bhagalpur,November,1901-1999,56,29.4,17.1,5.4
Bhagalpur,December,1901-1999,56,25.5,12.4,3.3
Bhatinda,January,1959-1984,24,20.5,4.7,11.4
Bhatinda,February,1959-1984,24,22.8,7.8,13.2
Bhatinda,March,1959-1984,24,28.3,12.5,23.5
Bhatinda,April,1959-1984,24,35.7,18.6,8.8
Bhatinda,May,1959-1984,24,40,22.7,14.8
Bhatinda,June,1959-1984,24,41.4,26.8,34.1
Bhatinda,July,1959-1984,24,36.9,26.3,133.1
Bhatinda,August,1959-1984,24,35.4,25.3,120.2
Bhatinda,September,1959-1984,24,35.4,22.6,47
Bhatinda,October,1959-1984,24,34,16.3,7.8
Bhatinda,November,1959-1984,24,28.2,9.6,7.7
Bhatinda,December,1959-1984,24,22.7,5.2,6.8
Bhopal (Bairagarh),January,1949-2000,52,25.3,10.5,13.2
Bhopal (Bairagarh),February,1949-2000,52,28.3,12.4,8.7
Bhopal (Bairagarh),March,1949-2000,52,33.5,17.1,8.4
Bhopal (Bairagarh),April,1949-2000,52,38.3,21.8,4.3
Bhopal (Bairagarh),May,1949-2000,52,40.7,25.7,11.7
Bhopal (Bairagarh),June,1949-2000,52,37.2,25.4,120.2
Bhopal (Bairagarh),July,1949-2000,52,30.7,23.2,354.1
Bhopal (Bairagarh),August,1949-2000,52,28.9,22.5,363.3
Bhopal (Bairagarh),September,1949-2000,52,30.5,21.6,185.1
Bhopal (Bairagarh),October,1949-2000,52,32,18.5,31
Bhopal (Bairagarh),November,1949-2000,52,28.9,14.2,12.1
Bhopal (Bairagarh),December,1949-2000,52,26,10.9,11
Bhubaneshwar (A),January,1952-2000,49,28.5,15.5,13.1
Bhubaneshwar (A),February,1952-2000,49,31.6,18.6,25.5
Bhubaneshwar (A),March,1952-2000,49,35.1,22.3,25.2
Bhubaneshwar (A),April,1952-2000,49,37.2,25.1,30.8
Bhubaneshwar (A),May,1952-2000,49,37.5,26.5,68.2
Bhubaneshwar (A),June,1952-2000,49,35.2,26.1,204.9
Bhubaneshwar (A),July,1952-2000,49,32,25.2,326.2
Bhubaneshwar (A),August,1952-2000,49,31.6,25.1,366.8
Bhubaneshwar (A),September,1952-2000,49,31.9,24.8,256.3
Bhubaneshwar (A),October,1952-2000,49,31.7,23,190.7
Bhubaneshwar (A),November,1952-2000,49,30.2,18.8,41.7
Bhubaneshwar (A),December,1952-2000,49,28.3,15.2,4.9
Bhuj (Rudramata),January,1953-2000,47,27.1,8.8,2
Bhuj (Rudramata),February,1953-2000,47,30.1,11.8,1.5
Bhuj (Rudramata),March,1953-2000,47,35.1,17.4,2.1
Bhuj (Rudramata),April,1953-2000,47,38.8,22,1.1
Bhuj (Rudramata),May,1953-2000,47,39.6,25.3,7.5
Bhuj (Rudramata),June,1953-2000,47,37.5,27.1,38
Bhuj (Rudramata),July,1953-2000,47,34,26.3,125.7
Bhuj (Rudramata),August,1953-2000,47,32.8,25.3,103.5
Bhuj (Rudramata),September,1953-2000,47,34.3,23.9,63.1
Bhuj (Rudramata),October,1953-2000,47,36.4,20.7,19.7
Bhuj (Rudramata),November,1953-2000,47,32.7,15.1,8.5
Bhuj (Rudramata),December,1953-2000,47,28.4,10.1,1
Bikaner,January,1901-2000,97,22.6,6.5,5.7
Bikaner,February,1901-2000,97,25.8,9.6,7.8
Bikaner,March,1901-2000,97,31.9,15.7,6.3
Bikaner,April,1901-2000,97,37.7,22,11.9
Bikaner,May,1901-2000,97,41.8,27.1,15.9
Bikaner,June,1901-2000,97,41.7,29.3,33
Bikaner,July,1901-2000,97,38.4,28.1,91.1
Bikaner,August,1901-2000,97,36.5,26.8,82.6
Bikaner,September,1901-2000,97,36.7,25.2,40.8
Bikaner,October,1901-2000,97,35.8,20,10.1
Bikaner,November,1901-2000,97,30.4,12.4,1.9
Bikaner,December,1901-2000,97,24.7,7.4,3
Cannanore,January,1978-2000,22,32.7,21.5,4.8
Cannanore,February,1978-2000,22,33.1,22.3,0.2
Cannanore,March,1978-2000,22,33.6,24.1,52.3
Cannanore,April,1978-2000,22,34.1,25.6,41.7
Cannanore,May,1978-2000,22,33.3,25.3,206.6
Cannanore,June,1978-2000,22,29.6,23.6,1048.1
Cannanore,July,1978-2000,22,28.9,23.1,875.5
Cannanore,August,1978-2000,22,29,23.1,574.4
Cannanore,September,1978-2000,22,30.1,23.4,200.8
Cannanore,October,1978-2000,22,31,23.5,221.7
Cannanore,November,1978-2000,22,32,23,103.3
Cannanore,December,1978-2000,22,32.5,22,36.5
Chandigarh,January,1954-1977,24,20.4,6.1,46.6
Chandigarh,February,1954-1977,24,23.1,8.3,33.9
Chandigarh,March,1954-1977,24,28.5,13.4,29.3
Chandigarh,April,1954-1977,24,34.5,18.9,11.3
Chandigarh,May,1954-1977,24,38.3,23.2,24.2
Chandigarh,June,1954-1977,24,38.6,25.4,112.6
Chandigarh,July,1954-1977,24,34,24,276.3
Chandigarh,August,1954-1977,24,32.8,23.3,282.8
Chandigarh,September,1954-1977,24,33.1,21.8,179
Chandigarh,October,1954-1977,24,31.8,17,41.6
Chandigarh,November,1954-1977,24,27.3,10.5,6.7
Chandigarh,December,1954-1977,24,22.1,6.7,18.9
Chennai (Minambakkam),January,1901-2000,100,28.8,20.4,35.3
Chennai (Minambakkam),February,1901-2000,100,30.5,21.1,13
Chennai (Minambakkam),March,1901-2000,100,32.6,23,14.5
Chennai (Minambakkam),April,1901-2000,100,34.7,25.8,15.9
Chennai (Minambakkam),May,1901-2000,100,37.4,27.6,42.4
Chennai (Minambakkam),June,1901-2000,100,37.3,27.4,53.9
Chennai (Minambakkam),July,1901-2000,100,35.3,26.1,99.6
Chennai (Minambakkam),August,1901-2000,100,34.5,25.5,129.9
Chennai (Minambakkam),September,1901-2000,100,33.9,25.2,123.5
Chennai (Minambakkam),October,1901-2000,100,31.8,24.2,284.6
Chennai (Minambakkam),November,1901-2000,100,29.4,22.6,353
Chennai (Minambakkam),December,1901-2000,100,28.4,21.2,146.3
Cherrapunji,January,1902-2000,99,15.7,7.3,19.2
Cherrapunji,February,1902-2000,99,17.1,8.9,51.5
Cherrapunji,March,1902-2000,99,20.4,12.5,223.1
Cherrapunji,April,1902-2000,99,21.9,14.6,684.1
Cherrapunji,May,1902-2000,99,22.4,16.1,1393.9
Cherrapunji,June,1902-2000,99,22.4,17.7,2597.5
Cherrapunji,July,1902-2000,99,22.4,18.2,2622
Cherrapunji,August,1902-2000,99,22.7,18.2,1793.5
Cherrapunji,September,1902-2000,99,23,17.8,1113
Cherrapunji,October,1902-2000,99,22.5,15.7,478
Cherrapunji,November,1902-2000,99,20.1,12,63.3
Cherrapunji,December,1902-2000,99,17.1,8.6,13.5
Coimbatore (Pilamedu),January,1948-2000,53,30.2,18.1,6.6
Coimbatore (Pilamedu),February,1948-2000,53,32.9,19.2,8.9
Coimbatore (Pilamedu),March,1948-2000,53,35.5,21.3,12
Coimbatore (Pilamedu),April,1948-2000,53,36.2,23.3,49.4
Coimbatore (Pilamedu),May,1948-2000,53,34.7,23.3,68.8
Coimbatore (Pilamedu),June,1948-2000,53,32,22.3,84.4
Coimbatore (Pilamedu),July,1948-2000,53,30.8,21.7,34.3
Coimbatore (Pilamedu),August,1948-2000,53,31.3,21.7,28.4
Coimbatore (Pilamedu),September,1948-2000,53,32.2,21.8,57.3
Coimbatore (Pilamedu),October,1948-2000,53,31.3,21.8,136.7
Coimbatore (Pilamedu),November,1948-2000,53,29.9,20.6,119.3
Coimbatore (Pilamedu),December,1948-2000,53,29.1,18.8,40.8
Cooch Behar,January,1901-2000,61,23.7,9.6,8.3
Cooch Behar,February,1901-2000,61,25.8,11.6,13.1
Cooch Behar,March,1901-2000,61,29.9,15.8,40.7
Cooch Behar,April,1901-2000,61,31.7,20.1,127.9
Cooch Behar,May,1901-2000,61,31,22.2,377.6
Cooch Behar,June,1901-2000,61,31.1,24.1,766.8
Cooch Behar,July,1901-2000,61,31.3,24.9,813.4
Cooch Behar,August,1901-2000,61,31.6,25.1,620.5
Cooch Behar,September,1901-2000,61,31.3,24.3,519
Cooch Behar,October,1901-2000,61,30.5,21.2,179.8
Cooch Behar,November,1901-2000,61,28.1,15.4,9.7
Cooch Behar,December,1901-2000,61,25.2,11.2,4
Darjeeling,January,1901-2000,97,9.4,1.8,19.7
Darjeeling,February,1901-2000,97,10.4,2.9,24.1
Darjeeling,March,1901-2000,97,14.4,6.3,47.7
Darjeeling,April,1901-2000,97,17.4,9.4,115.8
Darjeeling,May,1901-2000,97,18.5,11.5,197.2
Darjeeling,June,1901-2000,97,19.3,13.6,570
Darjeeling,July,1901-2000,97,19.4,14.3,781.7
Darjeeling,August,1901-2000,97,19.6,14.2,635.3
Darjeeling,September,1901-2000,97,19.2,13.3,437.3
Darjeeling,October,1901-2000,97,18,10.3,122.5
Darjeeling,November,1901-2000,97,14.7,6.3,23.5
Darjeeling,December,1901-2000,97,11.5,3.3,7
Dehra Dun,January,1901-2000,84,19.3,6,55
Dehra Dun,February,1901-2000,84,21.5,7.8,58.8
Dehra Dun,March,1901-2000,84,26.4,12,49
Dehra Dun,April,1901-2000,84,32.1,16.7,22.5
Dehra Dun,May,1901-2000,84,35.6,20.7,41.7
Dehra Dun,June,1901-2000,84,34.8,23,201.8
Dehra Dun,July,1901-2000,84,30.5,22.8,672.6
Dehra Dun,August,1901-2000,84,29.4,22.4,728.2
Dehra Dun,September,1901-2000,84,29.7,20.8,296.5
Dehra Dun,October,1901-2000,84,28.5,15.7,49.8
Dehra Dun,November,1901-2000,84,25,10.4,8.6
Dehra Dun,December,1901-2000,84,21.1,6.8,24.4
Dharmsala,January,1951-1998,48,14.8,5.9,119.7
Dharmsala,February,1951-1998,48,16.7,7.5,108.2
Dharmsala,March,1951-1998,48,21,11.4,241.7
Dharmsala,April,1951-1998,48,26.1,15.9,58.3
Dharmsala,May,1951-1998,48,30.3,19.8,64.2
Dharmsala,June,1951-1998,48,31.4,21.6,222.7
Dharmsala,July,1951-1998,48,27.3,20.6,876.9
Dharmsala,August,1951-1998,48,26.4,20.2,864.6
Dharmsala,September,1951-1998,48,26.4,18.6,375.8
Dharmsala,October,1951-1998,48,24.9,15,55.8
Dharmsala,November,1951-1998,48,20.9,10.6,20.8
Dharmsala,December,1951-1998,48,16.9,7.4,54.9
Dibrugarh/Mohanbari,January,1952-2000,49,22.7,9.1,32
Dibrugarh/Mohanbari,February,1952-2000,49,23.9,12.2,78.5
Dibrugarh/Mohanbari,March,1952-2000,49,26.5,15.6,109.7
Dibrugarh/Mohanbari,April,1952-2000,49,27.9,18.7,218.7
Dibrugarh/Mohanbari,May,1952-2000,49,29.4,21.7,316
Dibrugarh/Mohanbari,June,1952-2000,49,30.9,24,419.5
Dibrugarh/Mohanbari,July,1952-2000,49,31,24.5,520.9
Dibrugarh/Mohanbari,August,1952-2000,49,31.6,24.8,443.8
Dibrugarh/Mohanbari,September,1952-2000,49,30.7,23.8,333.1
Dibrugarh/Mohanbari,October,1952-2000,49,29.5,20.6,143.4
Dibrugarh/Mohanbari,November,1952-2000,49,27.1,14.6,24.7
Dibrugarh/Mohanbari,December,1952-2000,49,24,9.8,18
Gadag,January,1932-2000,69,30.1,16.5,2.2
Gadag,February,1932-2000,69,32.9,18.4,1.6
Gadag,March,1932-2000,69,35.9,21,6.2
Gadag,April,1932-2000,69,37.3,22.4,37.2
Gadag,May,1932-2000,69,36.3,22.4,77.6
Gadag,June,1932-2000,69,31,21.7,81.6
Gadag,July,1932-2000,69,28.5,21.2,71.6
Gadag,August,1932-2000,69,28.7,20.8,86.7
Gadag,September,1932-2000,69,29.8,20.5,126.6
Gadag,October,1932-2000,69,30.6,20.5,121.1
Gadag,November,1932-2000,69,29.7,18.3,36.6
Gadag,December,1932-2000,69,29,16.3,8.6
Gangtok,January,1966-2000,35,12.6,4.2,31.9
Gangtok,February,1966-2000,35,14.1,5.5,79.4
Gangtok,March,1966-2000,35,18.3,8.7,122.2
Gangtok,April,1966-2000,35,21,11.5,270.9
Gangtok,May,1966-2000,35,21.7,13.6,527.7
Gangtok,June,1966-2000,35,22.2,16,611.3
Gangtok,July,1966-2000,35,22,16.6,628.6
