Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm
Gangtok,August,1966-2000,35,22.4,16.5,563.2
Gangtok,September,1966-2000,35,21.8,15.5,463.4
Gangtok,October,1966-2000,35,20.9,12.3,177.9
Gangtok,November,1966-2000,35,17.8,8.7,41.7
Gangtok,December,1966-2000,35,14.4,5.6,21.1
Gaya,January,1901-1999,98,23.8,10,20.1
Gaya,February,1901-1999,98,26.9,12.6,19
Gaya,March,1901-1999,98,33.4,17.7,11.7
Gaya,April,1901-1999,98,38.8,23.3,7.5
Gaya,May,1901-1999,98,40.8,26.7,21.3
Gaya,June,1901-1999,98,38.1,27.6,137.3
Gaya,July,1901-1999,98,33.4,26.1,313.9
Gaya,August,1901-1999,98,32.4,25.7,327.6
Gaya,September,1901-1999,98,32.6,25.3,205.7
Gaya,October,1901-1999,98,31.9,21.6,52.6
Gaya,November,1901-1999,98,28.7,14.8,10
Gaya,December,1901-1999,98,24.8,10.3,3.6
Gopalpur,January,1901-2000,98,27.2,16.9,11
Gopalpur,February,1901-2000,98,28.9,19.5,23.6
Gopalpur,March,1901-2000,98,30.7,22.6,18.1
Gopalpur,April,1901-2000,98,31.2,25,20.3
Gopalpur,May,1901-2000,98,32.4,26.7,53.8
Gopalpur,June,1901-2000,98,32.3,26.8,138.1
Gopalpur,July,1901-2000,98,31,26.1,174.6
Gopalpur,August,1901-2000,98,31.2,25.9,195.9
Gopalpur,September,1901-2000,98,31.7,25.7,192
Gopalpur,October,1901-2000,98,31.4,23.8,237.8
Gopalpur,November,1901-2000,98,29.5,19.7,95.3
Gopalpur,December,1901-2000,98,27.4,16.4,11.4
Gorakhpur,January,1901-2000,96,22.9,9.2,14.2
Gorakhpur,February,1901-2000,96,25.9,11.4,15.2
Gorakhpur,March,1901-2000,96,32.4,16.4,9.4
Gorakhpur,April,1901-2000,96,37.4,21.8,11.7
Gorakhpur,May,1901-2000,96,38.7,25,36.1
Gorakhpur,June,1901-2000,96,36.7,26.3,166.7
Gorakhpur,July,1901-2000,96,32.9,26,342.7
Gorakhpur,August,1901-2000,96,32.4,25.7,339.1
Gorakhpur,September,1901-2000,96,32.6,24.9,232.3
Gorakhpur,October,1901-2000,96,32.4,20.9,60.4
Gorakhpur,November,1901-2000,96,28.8,14.4,4.9
Gorakhpur,December,1901-2000,96,24.4,10.1,6.2
Gulbarga,January,1901-2000,98,30.7,16,5
Gulbarga,February,1901-2000,98,33.6,18.3,5.6
Gulbarga,March,1901-2000,98,37.3,21.8,7.9
Gulbarga,April,1901-2000,98,39.6,25,18.6
Gulbarga,May,1901-2000,98,40.3,26,35.5
Gulbarga,June,1901-2000,98,35.3,23.7,107.3
Gulbarga,July,1901-2000,98,31.8,22.5,136.8
Gulbarga,August,1901-2000,98,31.3,22.2,140.1
Gulbarga,September,1901-2000,98,31.5,22.1,190.1
Gulbarga,October,1901-2000,98,32.3,20.9,80.7
Gulbarga,November,1901-2000,98,30.8,17.8,26.8
Gulbarga,December,1901-2000,98,29.7,15.2,5.1
Guwahati (Bhorjar),January,1951-2000,50,23.6,10.2,11.8
Guwahati (Bhorjar),February,1951-2000,50,26.2,11.9,17.2
Guwahati (Bhorjar),March,1951-2000,50,29.9,15.8,55.1
Guwahati (Bhorjar),April,1951-2000,50,31.2,20,147
Guwahati (Bhorjar),May,1951-2000,50,31.1,22.6,248.9
Guwahati (Bhorjar),June,1951-2000,50,31.7,24.8,316.8
Guwahati (Bhorjar),July,1951-2000,50,31.8,25.5,351.2
Guwahati (Bhorjar),August,1951-2000,50,32.1,25.5,269.4
Guwahati (Bhorjar),September,1951-2000,50,31.6,24.6,187
Guwahati (Bhorjar),October,1951-2000,50,30.2,21.9,90.9
Guwahati (Bhorjar),November,1951-2000,50,27.6,16.7,18.5
Guwahati (Bhorjar),December,1951-2000,50,24.6,11.7,7.3
Gwalior,January,1951-2000,50,22.8,7,14.4
Gwalior,February,1951-2000,50,26.4,9.8,10
Gwalior,March,1951-2000,50,32.5,15.4,6.5
Gwalior,April,1951-2000,50,38.6,21.5,4.5
Gwalior,May,1951-2000,50,42,26.8,11.2
Gwalior,June,1951-2000,50,40.7,29,67.5
Gwalior,July,1951-2000,50,34.6,26.4,248.8
Gwalior,August,1951-2000,50,32.4,25.2,274.4
Gwalior,September,1951-2000,50,33.1,23.9,151.2
Gwalior,October,1951-2000,50,33.5,18.3,40.7
Gwalior,November,1951-2000,50,29.4,11.6,5.8
Gwalior,December,1951-2000,50,24.6,7.3,7
Hassan,January,1901-2000,100,27.9,14.1,2.6
Hassan,February,1901-2000,100,30.3,15.5,5
Hassan,March,1901-2000,100,32.7,17.7,11.5
Hassan,April,1901-2000,100,33.3,19.5,56.7
Hassan,May,1901-2000,100,31.4,19.7,104.9
Hassan,June,1901-2000,100,26.8,19,88.7
Hassan,July,1901-2000,100,24.9,18.6,147.9
Hassan,August,1901-2000,100,25.4,18.5,94.2
Hassan,September,1901-2000,100,26.9,18.2,106.5
Hassan,October,1901-2000,100,27.5,18.2,156.1
Hassan,November,1901-2000,100,26.9,16.5,64.1
Hassan,December,1901-2000,100,26.7,14.5,14.6
Hissar,January,1914-2000,87,21.3,5.8,14.8
Hissar,February,1914-2000,87,24.5,8.5,15.2
Hissar,March,1914-2000,87,30.5,13.8,14
Hissar,April,1914-2000,87,36.9,19.6,8.9
Hissar,May,1914-2000,87,41,24.7,17.3
Hissar,June,1914-2000,87,41.2,27.8,39.7
Hissar,July,1914-2000,87,37.2,27.3,133.1
Hissar,August,1914-2000,87,35.6,26.2,130.6
Hissar,September,1914-2000,87,35.7,23.9,74.5
Hissar,October,1914-2000,87,34.4,17.8,29.2
Hissar,November,1914-2000,87,29.2,10.9,3.2
Hissar,December,1914-2000,87,23.5,6.5,10.2
Hyderabad (A),January,1951-2000,50,28.8,15.2,13.2
Hyderabad (A),February,1951-2000,50,31.9,17.6,7.9
Hyderabad (A),March,1951-2000,50,35.4,20.8,15.3
Hyderabad (A),April,1951-2000,50,37.9,24.3,20.2
Hyderabad (A),May,1951-2000,50,39,26.2,35.7
Hyderabad (A),June,1951-2000,50,34.5,24,103.8
Hyderabad (A),July,1951-2000,50,30.8,22.6,169.9
Hyderabad (A),August,1951-2000,50,29.8,22.1,178.7
Hyderabad (A),September,1951-2000,50,30.5,22,158.3
Hyderabad (A),October,1951-2000,50,30.6,20.3,97.2
Hyderabad (A),November,1951-2000,50,29,16.9,22.4
Hyderabad (A),December,1951-2000,50,28,14.5,5.9
Imphal/Tulihal,January,1953-1998,45,21.5,4,12.2
Imphal/Tulihal,February,1953-1998,45,23.3,6.9,37.5
Imphal/Tulihal,March,1953-1998,45,26.8,11.2,84.5
Imphal/Tulihal,April,1953-1998,45,28.6,15.4,120.1
Imphal/Tulihal,May,1953-1998,45,29,18.3,154.2
Imphal/Tulihal,June,1953-1998,45,29.1,20.9,262.1
Imphal/Tulihal,July,1953-1998,45,28.9,21.5,407.3
Imphal/Tulihal,August,1953-1998,45,29,21.3,198.7
Imphal/Tulihal,September,1953-1998,45,29,20.2,131.5
Imphal/Tulihal,October,1953-1998,45,28.1,16.7,112.1
Imphal/Tulihal,November,1953-1998,45,25.2,10.5,48.1
Imphal/Tulihal,December,1953-1998,45,22.2,5.1,14
Indore,January,1949-2000,52,26.5,9.9,7.7
Indore,February,1949-2000,52,29.3,11.5,2.5
Indore,March,1949-2000,52,34.2,16.2,2.4
Indore,April,1949-2000,52,38.4,21,2.4
Indore,May,1949-2000,52,40.2,24.5,10.6
Indore,June,1949-2000,52,36.3,24.3,131.9
Indore,July,1949-2000,52,30.3,22.7,283.7
Indore,August,1949-2000,52,28.5,22,276.9
Indore,September,1949-2000,52,30.3,21,183.1
Indore,October,1949-2000,52,32.2,18,40.1
Indore,November,1949-2000,52,29.6,13.6,13.3
Indore,December,1949-2000,52,27.1,10.5,6.3
Jabalpur,January,1901-2000,100,25.5,9.8,22.2
Jabalpur,February,1901-2000,100,28.2,11.9,23.4
Jabalpur,March,1901-2000,100,33.6,16.1,15.5
Jabalpur,April,1901-2000,100,38.4,21.4,7.7
Jabalpur,May,1901-2000,100,41.3,26,12.9
Jabalpur,June,1901-2000,100,37.5,26.4,167.3
Jabalpur,July,1901-2000,100,30.7,24.1,421.9
Jabalpur,August,1901-2000,100,29.5,23.6,422.9
Jabalpur,September,1901-2000,100,30.9,23.1,200.1
Jabalpur,October,1901-2000,100,31.6,18.8,39.9
Jabalpur,November,1901-2000,100,28.7,12.7,15
Jabalpur,December,1901-2000,100,25.9,9.3,9.9
Jagdalpur,January,1909-2000,92,28.2,11.6,9.1
Jagdalpur,February,1909-2000,92,30.9,14.3,15.6
Jagdalpur,March,1909-2000,92,34.9,18.5,16
Jagdalpur,April,1909-2000,92,37.2,22.2,51.1
Jagdalpur,May,1909-2000,92,38.1,24.2,73.2
Jagdalpur,June,1909-2000,92,33.4,23.8,239.6
Jagdalpur,July,1909-2000,92,28.6,22.3,369.4
Jagdalpur,August,1909-2000,92,28.4,22.2,377.5
Jagdalpur,September,1909-2000,92,29.6,22,236.9
Jagdalpur,October,1909-2000,92,29.9,19.6,101.1
Jagdalpur,November,1909-2000,92,28.2,14.9,24.3
Jagdalpur,December,1909-2000,92,27.2,11.1,7.7
Jaipur (Sanganer),January,1952-2000,49,22.4,8.2,7.5
Jaipur (Sanganer),February,1952-2000,49,25.4,10.9,10.2
Jaipur (Sanganer),March,1952-2000,49,31.3,16,4.5
Jaipur (Sanganer),April,1952-2000,49,37,21.6,8.3
Jaipur (Sanganer),May,1952-2000,49,40.3,25.7,16.7
Jaipur (Sanganer),June,1952-2000,49,39.5,27.5,54.7
Jaipur (Sanganer),July,1952-2000,49,34.2,25.8,214
Jaipur (Sanganer),August,1952-2000,49,32.3,24.5,213.6
Jaipur (Sanganer),September,1952-2000,49,33.5,23.2,69.4
Jaipur (Sanganer),October,1952-2000,49,33.5,19,23.3
Jaipur (Sanganer),November,1952-2000,49,29.1,13.4,4.2
Jaipur (Sanganer),December,1952-2000,49,24.4,9.2,3
Jaisalmer,January,1948-2000,43,23.7,7.6,1.5
Jaisalmer,February,1948-2000,43,27.1,10.5,3
Jaisalmer,March,1948-2000,43,32.6,16.4,2.7
Jaisalmer,April,1948-2000,43,38.2,21.9,21
Jaisalmer,May,1948-2000,43,41.6,25.6,8.9
Jaisalmer,June,1948-2000,43,40.8,27,15.1
Jaisalmer,July,1948-2000,43,37.7,26.5,60.1
Jaisalmer,August,1948-2000,43,36,25.4,75.8
Jaisalmer,September,1948-2000,43,36.4,24.2,17.6
Jaisalmer,October,1948-2000,43,36.1,20.2,2.4
Jaisalmer,November,1948-2000,43,31,13.4,1.5
Jaisalmer,December,1948-2000,43,25.5,8.5,2.4
Jammu,January,1925-2000,62,18.6,7.8,60.7
Jammu,February,1925-2000,62,21.3,10.1,62.8
Jammu,March,1925-2000,62,26.1,14.2,59.9
Jammu,April,1925-2000,62,32.6,19.7,35.7
Jammu,May,1925-2000,62,38.1,24.7,25.6
Jammu,June,1925-2000,62,39.8,26.9,72.7
Jammu,July,1925-2000,62,35.1,25.2,349.6
Jammu,August,1925-2000,62,33.3,24.7,319.1
Jammu,September,1925-2000,62,33.3,23.3,139.8
Jammu,October,1925-2000,62,31.4,18.8,23.8
Jammu,November,1925-2000,62,26.5,13.1,10.3
Jammu,December,1925-2000,62,20.9,9,33
Jamshedpur,January,1951-1999,43,26.2,11.7,14
Jamshedpur,February,1951-1999,43,29.3,14.5,25.7
Jamshedpur,March,1951-1999,43,34.4,18.6,26.1
Jamshedpur,April,1951-1999,43,38.9,23.7,37.5
Jamshedpur,May,1951-1999,43,39.6,26.2,57.2
Jamshedpur,June,1951-1999,43,36.2,26.2,205.3
Jamshedpur,July,1951-1999,43,32.3,25.1,292.5
Jamshedpur,August,1951-1999,43,31.8,25.2,306.5
Jamshedpur,September,1951-1999,43,32.1,24.6,208.8
Jamshedpur,October,1951-1999,43,31.5,21.7,82.2
Jamshedpur,November,1951-1999,43,29,16.1,10.1
Jamshedpur,December,1951-1999,43,26.2,11.7,6.1
Jharsuguda,January,1951-2000,47,27.6,12.2,16.1
Jharsuguda,February,1951-2000,47,30.7,15,19.7
Jharsuguda,March,1951-2000,47,35.5,19.2,18
Jharsuguda,April,1951-2000,47,40,24.1,18
Jharsuguda,May,1951-2000,47,41.4,26.9,36.1
Jharsuguda,June,1951-2000,47,36.9,26.3,211.8
Jharsuguda,July,1951-2000,47,31.5,24.7,377.3
Jharsuguda,August,1951-2000,47,31.1,24.6,405.5
Jharsuguda,September,1951-2000,47,31.9,24.3,278.4
Jharsuguda,October,1951-2000,47,32,21.5,61.7
Jharsuguda,November,1951-2000,47,30,16.2,10.4
Jharsuguda,December,1951-2000,47,27.6,12.1,7.9
Jodhpur,January,1901-2000,100,25,9.6,10.2
Jodhpur,February,1901-2000,100,27.8,11.8,4.8
Jodhpur,March,1901-2000,100,33.4,17.2,3.9
Jodhpur,April,1901-2000,100,38.4,22.7,5.1
Jodhpur,May,1901-2000,100,41.4,26.8,66.1
Jodhpur,June,1901-2000,100,40.1,28.2,35.1
Jodhpur,July,1901-2000,100,36,26.8,120.8
Jodhpur,August,1901-2000,100,33.7,25.3,128.9
Jodhpur,September,1901-2000,100,35,24.1,57.6
Jodhpur,October,1901-2000,100,36,19.9,8.1
Jodhpur,November,1901-2000,100,31.5,14.5,2.6
Jodhpur,December,1901-2000,100,26.8,10.8,1.6
Joshimath,January,1958-1987,29,11.4,2.1,65.3
Joshimath,February,1958-1987,29,12.4,3.2,98
Joshimath,March,1958-1987,29,17.6,6.6,114.3
Joshimath,April,1958-1987,29,21.8,10.8,64
Joshimath,May,1958-1987,29,24.6,13.9,71.3
Joshimath,June,1958-1987,29,25.9,16.6,132.3
Joshimath,July,1958-1987,29,24.1,16.9,247.4
Joshimath,August,1958-1987,29,23.6,16.9,222.4
Joshimath,September,1958-1987,29,22.9,14.8,104.8
Joshimath,October,1958-1987,29,20.6,10.5,45.1
Joshimath,November,1958-1987,29,16.8,6.2,15.4
Joshimath,December,1958-1987,29,13.6,3.8,25
Jullundur,January,1970-1999,14,19.4,6.2,10.7
Jullundur,February,1970-1999,14,21.6,8.6,16.7
Jullundur,March,1970-1999,14,26,13.2,32.8
Jullundur,April,1970-1999,14,34.5,19,15.2
Jullundur,May,1970-1999,14,39.4,23.8,20.4
Jullundur,June,1970-1999,14,38.2,25.6,69.7
Jullundur,July,1970-1999,14,34.1,24.7,155.2
Jullundur,August,1970-1999,14,33.1,25.8,183.6
Jullundur,September,1970-1999,14,32.6,21.8,60
Jullundur,October,1970-1999,14,31.5,18.3,1.5
Jullundur,November,1970-1999,14,27.2,12.1,3.5
Jullundur,December,1970-1999,14,22.3,7.2,9.7
Kanpur (A),January,1901-1995,84,23,8.5,15.4
Kanpur (A),February,1901-1995,84,26,11,16.4
Kanpur (A),March,1901-1995,84,32.3,16.2,7.9
Kanpur (A),April,1901-1995,84,38.2,21.9,5.3
Kanpur (A),May,1901-1995,84,41.3,26.4,8.4
Kanpur (A),June,1901-1995,84,39.9,28.5,66.3
Kanpur (A),July,1901-1995,84,34.2,26.7,244.6
Kanpur (A),August,1901-1995,84,32.5,25.9,273.2
Kanpur (A),September,1901-1995,84,33.1,24.9,161.7
Kanpur (A),October,1901-1995,84,33,19.6,40
Kanpur (A),November,1901-1995,84,28.9,12.7,4.6
Kanpur (A),December,1901-1995,84,24.2,8.8,7.1
Kanyakumari,January,1961-2000,40,30.8,23.4,13.4
Kanyakumari,February,1961-2000,40,31.6,23.8,13.5
Kanyakumari,March,1961-2000,40,32.1,25,23.3
Kanyakumari,April,1961-2000,40,32.7,26.1,64.5
Kanyakumari,May,1961-2000,40,32.5,26.2,51.2
Kanyakumari,June,1961-2000,40,30.5,24.5,87.8
Kanyakumari,July,1961-2000,40,30.3,24,47
Kanyakumari,August,1961-2000,40,30.4,23.9,41.4
Kanyakumari,September,1961-2000,40,30.6,24.3,38.9
Kanyakumari,October,1961-2000,40,30.5,24.3,127.5
Kanyakumari,November,1961-2000,40,30.2,24,165.3
Kanyakumari,December,1961-2000,40,30.2,23.7,61.1
Karnal,January,1949-1999,50,19.9,7.1,26.9
Karnal,February,1949-1999,50,22.7,9.2,17.5
Karnal,March,1949-1999,50,28.1,13.5,18.6
Karnal,April,1949-1999,50,35.2,19.2,6.7
Karnal,May,1949-1999,50,38.9,23.6,9.8
Karnal,June,1949-1999,50,38.8,26,50.7
Karnal,July,1949-1999,50,34.2,25.4,194.8
Karnal,August,1949-1999,50,32.8,24.9,221.5
Karnal,September,1949-1999,50,32.9,23.2,93.3
Karnal,October,1949-1999,50,31.7,17.7,21.7
Karnal,November,1949-1999,50,27.2,11.9,4.7
Karnal,December,1949-1999,50,22.1,8,9.7
Khajuraho,January,1970-2000,30,24.3,8.4,20.8
Khajuraho,February,1970-2000,30,27.6,10.6,28.2
Khajuraho,March,1970-2000,30,33.8,15.5,8.3
Khajuraho,April,1970-2000,30,39.8,21.9,5.4
Khajuraho,May,1970-2000,30,42.7,27,9.4
Khajuraho,June,1970-2000,30,40.1,28.4,100
Khajuraho,July,1970-2000,30,33.8,26.1,322.8
Khajuraho,August,1970-2000,30,32.1,25.2,401.2
Khajuraho,September,1970-2000,30,32.9,24,187.8
Khajuraho,October,1970-2000,30,33.7,19.1,37.3
Khajuraho,November,1970-2000,30,29.9,13.1,8.5
Khajuraho,December,1970-2000,30,25.7,9,4.8
Kodaikanal,January,1901-2000,100,17.5,8.1,59.1
Kodaikanal,February,1901-2000,100,18.6,8.5,34.6
Kodaikanal,March,1901-2000,100,20.1,10.1,52.6
Kodaikanal,April,1901-2000,100,20.6,11.7,136
Kodaikanal,May,1901-2000,100,20.9,12.6,146.1
Kodaikanal,June,1901-2000,100,18.9,12,97.7
Kodaikanal,July,1901-2000,100,17.7,11.4,122.1
Kodaikanal,August,1901-2000,100,17.9,11.3,153.1
Kodaikanal,September,1901-2000,100,18.1,11.2,185.6
Kodaikanal,October,1901-2000,100,17.4,10.7,253.9
Kodaikanal,November,1901-2000,100,16.4,9.7,235
Kodaikanal,December,1901-2000,100,16.7,8.7,141.4
Kohima,January,1952-1992,33,16.6,8.1,11.7
Kohima,February,1952-1992,33,17.9,9.3,35.4
Kohima,March,1952-1992,33,22.1,12.7,47.6
Kohima,April,1952-1992,33,24.1,15.6,88.7
Kohima,May,1952-1992,33,24.4,16.9,159.2
Kohima,June,1952-1992,33,24.9,18.1,333.8
Kohima,July,1952-1992,33,25,18.8,371.8
Kohima,August,1952-1992,33,25.4,18.9,364
Kohima,September,1952-1992,33,25,18.1,250.1
Kohima,October,1952-1992,33,23.4,16.6,126
Kohima,November,1952-1992,33,20.6,13.1,35.2
Kohima,December,1952-1992,33,17.7,9.4,7.8
Kolkata (Alipur),January,1901-2000,100,26,13.7,13.3
Kolkata (Alipur),February,1901-2000,100,29,16.6,25.6
Kolkata (Alipur),March,1901-2000,100,33.7,21.4,33.3
Kolkata (Alipur),April,1901-2000,100,35.7,24.9,51.2
Kolkata (Alipur),May,1901-2000,100,35.5,26.1,126.2
Kolkata (Alipur),June,1901-2000,100,33.7,26.5,282.4
Kolkata (Alipur),July,1901-2000,100,32,26.2,339.8
Kolkata (Alipur),August,1901-2000,100,31.8,26.1,333.2
Kolkata (Alipur),September,1901-2000,100,32,25.9,277.2
Kolkata (Alipur),October,1901-2000,100,31.7,23.9,138.9
Kolkata (Alipur),November,1901-2000,100,29.3,18.8,23.9
Kolkata (Alipur),December,1901-2000,100,26.4,14.2,6.4
Kota (A),January,1961-2000,40,23.7,10.9,5.4
Kota (A),February,1961-2000,40,26.9,13.7,4.4
Kota (A),March,1961-2000,40,32.9,19.1,4
Kota (A),April,1961-2000,40,38.8,25,3.2
Kota (A),May,1961-2000,40,42.1,29.3,10.3
Kota (A),June,1961-2000,40,40,29.2,62.9
Kota (A),July,1961-2000,40,34.2,26.5,257
Kota (A),August,1961-2000,40,32,25.4,245.8
Kota (A),September,1961-2000,40,33.7,25,98.5
Kota (A),October,1961-2000,40,34.3,21.8,19.6
Kota (A),November,1961-2000,40,29.9,16.3,7.8
Kota (A),December,1961-2000,40,25.3,11.9,3.5
Kozhikode (A),January,1996-2000,5,33,22.3,7.4
Kozhikode (A),February,1996-2000,5,33.5,23.1,3.3
Kozhikode (A),March,1996-2000,5,34.5,24.9,23.4
Kozhikode (A),April,1996-2000,5,34.2,25.5,73.8
Kozhikode (A),May,1996-2000,5,33.1,25.3,189.7
Kozhikode (A),June,1996-2000,5,29.8,23.6,736.4
Kozhikode (A),July,1996-2000,5,28.8,23.1,789.3
Kozhikode (A),August,1996-2000,5,29.1,23.4,395.5
Kozhikode (A),September,1996-2000,5,30.4,23.7,237.4
Kozhikode (A),October,1996-2000,5,30.8,23.5,400.9
Kozhikode (A),November,1996-2000,5,31.9,23.4,158.5
Kozhikode (A),December,1996-2000,5,32.2,22.5,119.9
Lucknow (Amausi),January,1952-2000,49,22.5,7.3,19.1
Lucknow (Amausi),February,1952-2000,49,25.9,9.7,17.6
Lucknow (Amausi),March,1952-2000,49,32.1,14.5,8.7
Lucknow (Amausi),April,1952-2000,49,38,20.4,5.8
Lucknow (Amausi),May,1952-2000,49,40.3,24.7,18.8
Lucknow (Amausi),June,1952-2000,49,38.6,27,103.2
Lucknow (Amausi),July,1952-2000,49,33.8,26.1,277.4
Lucknow (Amausi),August,1952-2000,49,32.9,25.6,284
Lucknow (Amausi),September,1952-2000,49,33,24.3,201.4
Lucknow (Amausi),October,1952-2000,49,32.6,19,49
Lucknow (Amausi),November,1952-2000,49,29,12.3,8
Lucknow (Amausi),December,1952-2000,49,24.3,8,16.4
Ludhiana,January,1901-1984,84,19.7,6.2,30.6
Ludhiana,February,1901-1984,84,22.4,8.4,34.1
Ludhiana,March,1901-1984,84,28.3,13.1,28.7
Ludhiana,April,1901-1984,84,35.2,18.8,14.9
Ludhiana,May,1901-1984,84,40.2,23.9,14.7
Ludhiana,June,1901-1984,84,40.7,27.1,52
Ludhiana,July,1901-1984,84,35.9,26.7,200.2
Ludhiana,August,1901-1984,84,34.4,25.9,174.3
Ludhiana,September,1901-1984,84,34.7,23.7,108.4
Ludhiana,October,1901-1984,84,33.3,17.6,19.8
Ludhiana,November,1901-1984,84,27.7,10.6,5.4
Ludhiana,December,1901-1984,84,21.9,6.6,15.6
Madurai (A),January,1958-2000,43,30.5,20.1,16.1
Madurai (A),February,1958-2000,43,32.9,21,8.6
Madurai (A),March,1958-2000,43,35.6,22.9,12.3
Madurai (A),April,1958-2000,43,37,25.2,47.8
Madurai (A),May,1958-2000,43,37.6,26,68.8
Madurai (A),June,1958-2000,43,36.7,25.9,42.9
Madurai (A),July,1958-2000,43,35.8,25.6,59.1
Madurai (A),August,1958-2000,43,35.6,25.2,84.9
Madurai (A),September,1958-2000,43,34.8,24.4,124.5
Madurai (A),October,1958-2000,43,32.6,23.5,172.5
Madurai (A),November,1958-2000,43,30.4,22.5,146.6
Madurai (A),December,1958-2000,43,29.6,21.1,58.5
Mahabaleshwar,January,1932-2000,69,25.1,13.5,1.7
Mahabaleshwar,February,1932-2000,69,27,14.5,1
Mahabaleshwar,March,1932-2000,69,29.7,17.2,6.1
Mahabaleshwar,April,1932-2000,69,30.9,18.7,24.6
Mahabaleshwar,May,1932-2000,69,29.4,18.1,58.4
Mahabaleshwar,June,1932-2000,69,22.4,17,874.4
Mahabaleshwar,July,1932-2000,69,19.4,16.6,2344.7
Mahabaleshwar,August,1932-2000,69,19.2,16.4,1711.4
Mahabaleshwar,September,1932-2000,69,21,15.9,601.9
Mahabaleshwar,October,1932-2000,69,24.8,16.1,150.8
Mahabaleshwar,November,1932-2000,69,24.7,14.8,41
Mahabaleshwar,December,1932-2000,69,24.3,13.7,11.2
Malda,January,1901-1999,78,24.3,11.3,11.9
Malda,February,1901-1999,78,27.3,13.4,16.1
Malda,March,1901-1999,78,32.8,17.7,15.1
Malda,April,1901-1999,78,36.3,22.2,29.6
Malda,May,1901-1999,78,35.7,24.4,109.6
Malda,June,1901-1999,78,33.8,25.8,218.9
Malda,July,1901-1999,78,32.2,26,307.5
Malda,August,1901-1999,78,32,26.1,289.4
Malda,September,1901-1999,78,32.1,25.8,275.9
Malda,October,1901-1999,78,31.3,22.9,105.6
Malda,November,1901-1999,78,28.7,17.3,12.1
Malda,December,1901-1999,78,25.4,12.6,4.4
Manali,January,1968-2000,32,10.6,-1.7,128.9
Manali,February,1968-2000,32,11.7,-0.7,124.3
Manali,March,1968-2000,32,16.1,2.4,189.6
Manali,April,1968-2000,32,21.9,5.9,103.7
Manali,May,1968-2000,32,24.9,8.6,82.5
Manali,June,1968-2000,32,27.2,12.4,74.3
Manali,July,1968-2000,32,25.9,15.3,217.5
Manali,August,1968-2000,32,25.4,14.9,205.4
Manali,September,1968-2000,32,25,11.2,111.9
Manali,October,1968-2000,32,22.4,5.4,37.9
Manali,November,1968-2000,32,18.4,1.5,31.7
Manali,December,1968-2000,32,13.8,-0.4,56.1
Mangalore (Bajpe),January,1956-2000,45,32.8,20.8,1.1
Mangalore (Bajpe),February,1956-2000,45,33,21.8,0.2
Mangalore (Bajpe),March,1956-2000,45,33.5,23.6,2.9
Mangalore (Bajpe),April,1956-2000,45,34,25,24.4
Mangalore (Bajpe),May,1956-2000,45,33.3,25.1,183.2
Mangalore (Bajpe),June,1956-2000,45,29.7,23.4,1027.2
Mangalore (Bajpe),July,1956-2000,45,28.2,22.9,1200.4
Mangalore (Bajpe),August,1956-2000,45,28.4,23,787.3
Mangalore (Bajpe),September,1956-2000,45,29.5,23.1,292.1
Mangalore (Bajpe),October,1956-2000,45,30.9,23.1,190.8
Mangalore (Bajpe),November,1956-2000,45,32.3,22.4,70.9
Mangalore (Bajpe),December,1956-2000,45,32.8,21.2,16.4
Masulipatnam,January,1901-2000,100,28.2,19.3,5.3
Masulipatnam,February,1901-2000,100,30,20.7,12.3
